Hr	Tr	Ta	Rf	Pa	Vf	T2exp	T21	T22	T23
51	20.7	50	5.52	2.5	3	30.4	32.4	31.5	30.2
46.4	21.3	60	5.53	2.5	3	37.6	39.5	38.5	37
46.6	19.2	70	5.53	2.5	3	45.1	46.8	45.5	43.7
53.1	21.1	80	5.51	2.5	3	50.2	53.8	52.6	51
52	20.4	90	5.21	2.5	3	57.9	61.7	59.9	58.2
45.6	21.4	60	7.25	2.5	3	32.9	35.2	34.6	32.6
47.3	19.5	70	7.23	2.5	3	39.5	42.4	41	39.1
53.3	21.4	80	7.23	2.5	3	45.6	49.5	48.5	46.4
44	20.1	70	8.93	2.5	3	34.2	37.5	36.6	34.8
52.3	21.6	80	8.91	2.5	3	41.1	45.5	44.3	42
55	20.2	80	7.57	1	3	45.7	50.5	49	47
54	20.6	80	7.58	1.5	3	44.6	49.8	48.4	46.3
50.8	21.1	80	7.4	2	3	44.7	49.8	48.4	46.3
48	21.2	80	7.43	2.5	3	44	49.2	48	45.7
42.8	22.4	80	7.51	3	3	43.3	48.6	47.5	45.4
55.7	20.8	50	3.17	1	3	37	39.5	38	37.7
55.2	20.7	50	3.18	1.5	3	37.2	39.5	38.5	37.1
54.4	20.7	50	3.19	2	3	37.1	39.5	37.5	36.7
55.4	19.8	50	3.2	2.5	3	36.9	39.5	38.5	36.1
52.9	20	50	3.19	3	3	36.8	37.7	37.2	36.2
28.5	18.3	80	7.66	2.5	3	46	48.7	47.3	45.1
26.1	19	80	7.69	2.5	4	54.7	57.7	56.2	54.2
24.2	18.9	80	7.69	2.5	4.5	57	60.1	58.7	57
25.4	18.5	80	7.7	2.5	5	58.9	62	60.5	58.7
45.1	19.6	50	3.2	2.5	3	35.9	37.9	37.1	36.1
43.1	20.3	50	3.23	2.5	4	40.3	41.7	40.8	40.1
42.7	20.4	50	3.2	2.5	4.5	41.9	43	42.3	41.4
38.7	21.6	50	3.22	2.5	5	43.1	43.9	43.3	42.6
