Hardness,Rake,Helix,Relief,Corner,Flute,force
0,0.8326,0.461583333,0.966666667,0.156,0.16833333,542.4469
0.006133333,0.5642,0.744583333,0.725,0.5614,0.56166667,548.4845
0.0156,0.1916,0.206666667,0.4155,0.4528,0.82833333,659.9308
0.022133333,0.751,0.32125,0,0.8804,0.37166667,601.0511
0.030566667,0.0824,0.9855,0.540333333,0.0372,0.41833333,498.5836
0.039933333,0.326,0.611,0.2925,1,0.05,509.4459
0.064966667,0.4278,0.36825,0.801333333,0.0628,0.90666667,627.3198
0.071,0.868,0.935833333,0.2065,0.4938,0.28,502.3428
0.0883,0.2746,0.0455,0.654166667,0.9042,0.675,683.9735
0.105266667,0.0456,0.512083333,0.869,0.7102,0.33,581.146
0.109666667,0.9602,0.67125,0.365833333,0.1852,0.745,566.1494
0.132533333,0.5016,0.80075,0.107333333,0.808,0.86833333,545.8679
0.156266667,0.8842,0.44,0.567166667,0.9894,0.97333333,624.7384
0.158566667,0.2446,0.913916667,0.760666667,0.251,0.02166667,483.1874
0.1729,0.636,0.129,0.938166667,0.3848,0.46166667,648.2189
0.193433333,0.0616,0.281333333,0.137833333,0.143,0.99166667,654.7394
0.217433333,0.7188,0.70725,0.833666667,0.9326,0.11,523.7016
0.242933333,0,0.818833333,0.381166667,0.5892,0.18833333,517.1961
0.2549,0.5434,0.22125,0.248833333,0.0166,0.07833333,581.167
0.2697,0.3712,0.54025,0.012833333,0.3432,0.70166667,600.3014
0.2855,0.7956,0.882416667,0.675166667,0,0.81,530.4008
0.310566667,0.9924,0.014833333,0.592666667,0.2832,0.54,692.278
0.316566667,0.2286,0.627083333,0.974833333,0.631,0.95,586.4211
0.335433333,0.6064,0.973166667,0.347166667,0.9766,0.62166667,521.781
0.3656,0.8474,0.069,0.441166667,0.8262,0.035,578.492
0.387233333,0.7066,0.167916667,0.050333333,0.5264,0.92833333,692.7666
0.397933333,0.0062,0.424833333,0.705666667,0.211,0.64333333,618.473
0.4379,0.1518,0.179833333,1,0.0834,0.25833333,630.1982
0.459666667,0.3432,0.866916667,0.907833333,0.8352,0.43,541.7708
0.4783,0.441,0.007666667,0.306,0.7154,1,742.9563
0.481933333,0.6752,0.996666667,0.096833333,0.117,0.14,493.6048
0.5041,0.0896,0.46475,0.056333333,0.91,0.01333333,541.9299
0.540233333,0.1378,0.85425,0.2435,0.2892,0.91333333,546.3775
0.5452,1,0.575,0.691,0.8674,0.23,577.0822
0.5811,0.9804,0.967333333,0.997666667,0.421,0.84333333,527.7344
0.610066667,0.9334,0.412833333,0.1325,0.6352,0.445,636.8592
0.625133333,0.1196,0.250583333,0.786833333,0.9968,0.54833333,670.896
0.643633333,0.298,0.123083333,0.512,0.006,0.96166667,720.0088
0.659733333,0.767,0.758916667,0.3305,0.355,0.005,513.5224
0.684866667,0.4026,0.03675,0.8845,0.1932,0.09666667,620.7438
0.7141,0.4768,1,0.8185,0.6776,0.715,534.5034
0.7276,0.221,0.152,0.196666667,0.789,0.165,639.5025
0.751033333,0.021,0.718166667,0.493833333,0.8548,0.80166667,595.0144
0.763666667,0.911,0.786333333,0.924333333,0.073,0.60166667,575.9274
0.785233333,0.5506,0.39225,0.984,0.9602,0.305,626.4164
0.798466667,0.9516,0.099666667,0.753166667,0.7544,0.895,745.2832
0.8146,0.174,0.6615,0.665333333,0.4094,0.38666667,590.1627
0.821633333,0.743,0.02475,0.163833333,0.0456,0.76333333,745.3314
0.8403,0.983,0.29375,0.0245,0.2262,0.05166667,599.4194
0.8647,0.4636,0.489333333,0.402666667,0.1296,0.50833333,632.4758
0.892966667,0.2674,0.837,0.001666667,0.0238,0.23666667,552.1924
0.902833333,0.3644,0.337166667,0.623166667,0.7278,0,586.9113
0.912033333,0.6524,0.910166667,0.450666667,0.6056,0.985,566.1435
0.926333333,0.0142,0.079333333,0.085166667,0.314,0.34666667,701.8838
0.942633333,0.8122,0.646916667,0.038833333,0.7716,0.57833333,621.3492
0.947033333,0.109,0.9525,0.948833333,0.537,0.12,525.5705
0.9703,0.5854,0,0.5255,0.4818,0.21,684.2323
0.9801,0.6934,0.565333333,0.860833333,0.2404,0.86333333,642.3009
0.996366667,0.8934,0.242,0.287333333,0.3988,0.68,715.3505
1,0.0538,0.896333333,0.171333333,0.9514,0.485,570.5746
