x1,x2,y
-99.889,-67.569,211.6
-101.08,-67.615,212.8
-102.26,-67.718,214.3
-103.49,-67.689,219.1
-104.67,-67.764,209.2
-105.89,-67.724,205.9
-107.1,-67.724,221.7
-108.31,-67.718,229.5
-109.5,-67.701,218.3
-110.7,-67.678,227.6
-111.9,-67.643,218.6
-117.85,-67.408,226.7
-119.04,-67.317,236.1
-120.18,-67.225,228.7
-121.33,-67.122,227.5
-122.48,-67.007,228.8
-123.61,-66.881,219.5
-124.73,-66.755,228.8
-125.81,-66.618,228
-126.9,-66.475,225
-127.98,-66.32,234.5
-129.05,-66.159,235.7
-130.04,-65.93,237.8
-131.12,-65.81,239.9
-132.1,-65.575,234.3
-133.16,-65.432,244.2
-134.14,-65.248,244.4
-135.13,-65.031,244.7
-136.03,-64.773,248.6
-137.03,-64.607,249.2
-137.96,-64.383,249.7
-138.81,-64.108,259.5
-139.72,-63.873,250.6
-140.59,-63.633,255.5
-141.45,-63.392,265.4
-142.29,-63.146,261.6
-143.16,-62.888,264.2
-143.96,-62.624,268.5
-144.79,-62.361,276
-145.65,-62.126,278.4
-146.43,-61.857,283.5
-147.11,-61.53,289.6
-147.95,-61.289,296.4
-148.68,-61.003,300.1
-149.39,-60.711,307.3
-150.09,-60.418,311.9
-150.79,-60.12,319.1
-151.48,-59.811,327.1
-152.22,-59.542,333.7
-152.88,-59.227,341.8
-153.44,-58.877,356.8
-154.07,-58.562,372.9
-154.7,-58.241,390.6
-155.38,-57.949,396
-155.91,-57.582,405.3
-156.56,-57.279,414
-157.06,-56.912,414.4
-157.63,-56.574,419.8
-158.26,-56.27,421.3
-158.8,-55.921,414.9
-159.32,-55.583,407.8
-159.79,-55.193,396.6
-160.29,-54.844,394.3
-160.81,-54.488,399.1
-161.3,-54.127,403.9
-161.79,-53.772,402.9
-162.27,-53.411,402.7
-162.74,-53.05,404.1
-163.21,-52.683,398.4
-163.74,-52.351,397.3
-164.12,-51.944,395.2
-164.63,-51.606,389.6
-164.98,-51.205,385.4
-165.48,-50.861,386.9
-165.88,-50.483,384.3
-166.23,-50.082,380
-166.7,-49.727,382.4
-167.1,-49.349,379
-167.48,-48.971,373.5
-167.86,-48.587,380.4
-168.24,-48.203,381.9
-168.6,-47.819,382
-168.97,-47.424,380.3
-169.33,-47.04,380.2
-169.68,-46.644,380.1
-170.03,-46.255,376.3
-170.36,-45.865,375.3
-170.7,-45.47,378.8
-171.03,-45.075,376.2
-171.35,-44.679,378.6
-171.68,-44.278,378.8
-172,-43.877,374.9
-172.31,-43.476,378.9
-172.61,-43.075,374.3
-172.91,-42.674,375.7
-173.21,-42.267,369
-173.57,-41.877,370
-173.81,-41.448,366.8
-174.16,-41.064,370
-174.44,-40.657,378.8
-174.71,-40.25,376.8
-174.99,-39.838,372
-175.25,-39.437,370.4
-175.46,-39.001,371.9
-175.78,-38.612,367.1
-176.04,-38.199,368.8
-176.29,-37.787,371.5
-176.54,-37.374,364.8
-176.79,-36.956,367.3
-177.04,-36.538,362.7
-177.28,-36.125,363.2
-177.51,-35.707,357.2
-177.75,-35.288,349.8
-177.98,-34.876,348.8
-178.21,-34.458,335
-178.44,-34.034,336
-178.66,-33.615,331
-178.88,-33.197,326.3
-179.11,-32.773,328.2
-179.37,-32.366,328.8
-179.54,-31.925,327.2
-179.81,-31.518,317.6
179.98,-31.089,319.9
179.77,-30.659,319.9
179.57,-30.241,317.4
179.36,-29.811,310.6
179.17,-29.387,311.4
178.97,-28.963,311.5
178.77,-28.528,311.6
178.59,-28.109,306.7
178.4,-27.68,306.8
178.21,-27.256,301.4
178.02,-26.826,300.5
177.83,-26.39,299.2
177.6,-25.978,301.7
177.42,-25.548,298.8
177.24,-25.113,296.2
177.03,-24.7,301.7
176.88,-24.248,295.2
176.71,-23.818,299.3
176.51,-23.394,295
176.38,-22.953,294.3
176.21,-22.523,293.2
176.05,-22.088,292.1
175.88,-21.652,290.6
175.73,-21.222,285.4
175.56,-20.787,282.6
175.41,-20.351,281.6
175.24,-19.91,277.7
175.08,-19.475,277.9
174.93,-19.045,273.6
174.78,-18.598,272.2
174.58,-18.174,274.5
174.47,-17.727,275.2
174.32,-17.298,273.1
174.17,-16.856,278.2
174.04,-16.421,277
173.88,-15.98,281.9
173.74,-15.544,280.8
173.55,-15.115,279.4
173.46,-14.668,280.1
173.27,-14.238,279.6
173.13,-13.791,280.2
172.99,-13.35,277.5
172.86,-12.903,275.8
172.72,-12.468,276.8
172.59,-12.026,278.3
172.45,-11.579,277.4
172.32,-11.15,274.9
172.16,-10.714,273.4
172.02,-10.267,274.2
171.89,-9.8262,275.8
171.76,-9.385,269.8
171.64,-8.9496,270.1
171.51,-8.5027,267.7
171.39,-8.0672,264.5
171.26,-7.6203,264.7
171.14,-7.1734,259.5
171.02,-6.738,266.4
170.86,-6.2911,263.9
170.75,-5.8499,263
170.66,-5.3973,265.8
170.51,-4.9561,261.7
170.39,-4.5092,258.8
170.31,-4.068,268.9
170.17,-3.6268,265.6
170.08,-3.1742,260.9
169.93,-2.7387,259.5
169.82,-2.2861,263.3
169.71,-1.8392,259.7
169.6,-1.3923,260.8
169.49,-0.93965,260.6
169.38,-0.49847,261.6
169.27,-0.057296,260.5
169.16,0.39534,262.4
169.06,0.83079,262.5
168.92,1.2777,261.4
168.79,1.7131,260.6
168.71,2.1658,260.3
168.59,2.6127,260.5
168.51,3.0596,259.5
168.4,3.5065,259.1
168.27,3.9534,257.2
168.18,4.4003,254.1
168.08,4.8472,257.7
167.97,5.2941,256.3
167.85,5.741,259
167.76,6.1937,262.2
167.64,6.6406,263.1
167.54,7.0875,266.3
167.43,7.5344,260.6
167.33,7.987,263.6
167.22,8.4339,272.1
167.12,8.8751,268.2
167.03,9.3278,266
166.93,9.7747,268.6
166.84,10.233,268.6
166.72,10.68,264.2
166.66,11.127,265.3
166.57,11.579,268.7
166.48,12.032,266.5
166.39,12.479,265.3
166.33,12.926,267.9
166.22,13.373,267.9
166.16,13.825,266.2
166.04,14.278,270.6
165.93,14.731,266.2
165.84,15.178,266.8
165.72,15.63,266.2
165.67,16.083,265.3
165.59,16.536,267.6
165.47,16.982,267.5
165.38,17.429,264.2
165.3,17.882,264.9
165.22,18.335,265.9
165.14,18.782,265.6
165.1,19.24,268.2
165.02,19.693,267.9
164.94,20.145,266.2
164.87,20.598,266.2
164.79,21.045,266.8
164.71,21.492,266.3
164.64,21.944,265.2
164.6,22.397,266.5
164.52,22.844,266.3
164.42,23.291,266.2
164.35,23.738,266.7
164.31,24.19,263.8
164.2,24.637,263.7
164.12,25.084,264.3
164.06,25.531,265.7
163.93,25.989,266.5
163.87,26.448,265.3
163.72,26.9,268.8
163.69,27.353,267.2
163.57,27.811,267
163.5,28.258,268
163.44,28.705,268.7
163.42,29.158,271.6
163.35,29.599,271.1
163.29,30.052,273.7
163.22,30.504,275.3
163.16,30.951,273.7
163.05,31.398,276.9
162.98,31.851,276.5
162.92,32.303,281.2
162.86,32.75,280.4
162.79,33.203,282.6
162.73,33.656,283.2
162.67,34.114,280.3
162.66,34.561,279.6
162.57,35.013,283.8
162.55,35.472,279.2
162.5,35.924,280.5
162.48,36.377,277.8
162.43,36.835,275
162.37,37.288,279.7
162.27,37.741,278.1
162.22,38.199,271
162.16,38.646,271.5
162.11,39.104,276.5
162.06,39.557,272.6
161.96,40.01,272.3
161.91,40.457,274.5
161.85,40.903,273.9
161.81,41.356,275.5
161.81,41.803,271.1
161.71,42.25,269.5
161.67,42.697,269.2
161.63,43.149,268.3
161.58,43.602,267.1
161.53,44.049,268.4
161.49,44.507,266.5
161.45,44.96,270
161.4,45.413,270.9
161.3,45.86,273.9
161.27,46.312,275
161.23,46.765,274.7
161.2,47.217,278.7
161.16,47.664,280.3
161.06,48.117,287
161.09,48.558,289.4
161.06,49.011,293.8
161.03,49.463,292.8
161,49.922,294.8
160.97,50.374,300.3
160.95,50.827,305.3
160.99,51.274,302.4
160.97,51.727,300.7
160.94,52.179,303.9
160.85,52.632,305.4
160.83,53.085,307.3
160.81,53.526,301.2
160.79,53.984,298.3
160.78,54.437,299.4
160.76,54.884,292
160.67,55.336,288.2
160.66,55.783,284.1
160.73,56.236,287.5
160.73,56.688,285.6
160.72,57.13,296.6
160.72,57.577,294.3
160.72,58.029,294.4
160.72,58.488,299.4
160.63,58.94,302.8
160.64,59.387,305.5
160.65,59.84,299.1
160.66,60.287,292.4
160.67,60.728,294
160.78,61.175,292.1
160.81,61.622,289.5
160.73,62.074,290.2
160.86,62.515,290
160.81,62.974,295
160.93,63.415,301
160.97,63.862,302.7
161.01,64.309,306.6
161.06,64.756,305.9
161,65.22,310.1
161.05,65.667,307.8
161.12,66.119,304.6
161.18,66.578,309.7
161.25,67.025,305
161.33,67.477,316
161.41,67.924,308.2
161.39,68.371,312.2
161.6,68.812,297.6
161.58,69.265,305.6
